fpr,tpr
0.00994,0.19435
0.00994,0.194481
0.00994,0.194611
0.00994,0.194741
0.00994,0.194871
0.00994,0.195001
0.00994,0.195131
0.00994,0.195262
0.00994,0.195392
0.00994,0.195522
0.00994,0.195652
0.00994,0.195782
0.00994,0.195913
0.00994,0.196043
0.00994,0.196173
0.00994,0.196303
0.00994,0.196433
0.00994,0.196563
0.00994,0.196694
0.00994,0.196824
0.00994,0.196954
0.00994,0.197084
0.00994,0.197214
0.00994,0.197344
0.00994,0.197475
0.00994,0.197605
0.00994,0.197735
0.00994,0.197865
0.00994,0.197995
0.00994,0.198125
0.00994,0.198256
0.00994,0.198386
0.00994,0.198516
0.00994,0.198646
0.00994,0.198776
0.00994,0.198907
0.00994,0.199037
0.00994,0.199167
0.00994,0.199297
0.00994,0.199427
0.00994,0.199557
0.00994,0.199818
0.00994,0.199948
0.00994,0.200078
0.00994,0.200208
0.00994,0.200338
0.00994,0.200469
0.00994,0.200599
0.00994,0.200729
0.00994,0.200859
0.00994,0.200989
0.00994,0.20125
0.00994,0.20138
0.00994,0.20151
0.00994,0.20164
0.00994,0.20177
0.00994,0.201901
0.00994,0.202031
0.00994,0.202161
0.00994,0.202291
0.00994,0.202421
0.00994,0.202551
0.00994,0.202682
0.00994,0.202812
0.00994,0.202942
0.00994,0.203072
0.00994,0.203202
0.00994,0.203332
0.00994,0.203463
0.00994,0.203593
0.00994,0.203723
0.00994,0.203853
0.00994,0.203983
0.00994,0.204114
0.00994,0.204244
0.00994,0.204374
0.00994,0.204504
0.00994,0.204634
0.00994,0.204764
0.00994,0.204895
0.00994,0.205025
0.00994,0.205285
0.00994,0.205415
0.00994,0.205545
0.00994,0.205676
0.00994,0.205806
0.00994,0.205936
0.010603,0.205936
0.010603,0.206066
0.010603,0.206196
0.010603,0.206326
0.010603,0.206457
0.010603,0.206587
0.010603,0.206717
0.010603,0.206847
0.010603,0.206977
0.010603,0.207108
0.010603,0.207238
0.010603,0.207368
0.010603,0.207498
0.010603,0.207628
0.010603,0.207758
0.010603,0.207889
0.010603,0.208019
0.010603,0.208149
0.010603,0.208279
0.011266,0.208279
0.011266,0.208409
0.011266,0.208539
0.011266,0.20867
0.011266,0.2088
0.011266,0.20893
0.011266,0.20906
0.011266,0.20919
0.011266,0.20932
0.011266,0.209451
0.011266,0.209581
0.011266,0.209711
0.011266,0.209841
0.011266,0.209971
0.011266,0.210102
